employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
UBS,UBS,Weehawken,,NJ,,2026-11-04,58,,https://www.nj.gov/labor/employer-services/warn/
BASF Corporation,BASF,Florham Park,,NJ,,2026-11-01,62,,https://www.nj.gov/labor/employer-services/warn/
"Mars WrigleyConfectionary US, LLC",MARS WRIGLEYCONFECTIONARY,Newark,,NJ,,2026-10-16,307,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-10-16,282,,https://www.nj.gov/labor/employer-services/warn/
The Cannabist Company,THE CANNABIST,Vineland,,NJ,,2026-10-11,86,,https://www.nj.gov/labor/employer-services/warn/
Petvet Care Centers LLC,PETVET CARE CENTERS,Egg Harbor Twp,,NJ,,2026-10-08,18,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2026-10-02,322,,https://www.nj.gov/labor/employer-services/warn/
"Samsung SDS America, Inc",SAMSUNG SDS AMERICA,Ridgefield Park,,NJ,,2026-10-01,179,,https://www.nj.gov/labor/employer-services/warn/
"Headquarters Hotel Mgmt, LLC d/b/a Sheraton Atlantic City Convention Center Hotel",HEADQUARTERS HOTEL MGMT D/B/A SHERATON ATLANTIC CITY CONVENTION CENTER HOTEL,Atlantic City,,NJ,,2026-10-01,99,,https://www.nj.gov/labor/employer-services/warn/
Fusion Transport LLC,FUSION TRANSPORT,Piscataway,,NJ,,2026-10-01,79,,https://www.nj.gov/labor/employer-services/warn/
"Samsung Electronics America, Inc.",SAMSUNG ELECTRONICS AMERICA,Englewood Cliffs,,NJ,,2026-09-30,739,,https://www.nj.gov/labor/employer-services/warn/
"Automatic Data Processing, Inc.",AUTOMATIC DATA PROCESSING,Roseland,,NJ,,2026-09-25,76,,https://www.nj.gov/labor/employer-services/warn/
"International Paper, Barrington Box Plant",INTERNATIONAL PAPER BARRINGTON BOX PLANT,Barrington,,NJ,,2026-09-24,126,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-09-18,35,,https://www.nj.gov/labor/employer-services/warn/
Prudential Insurance Company of America,PRUDENTIAL INSURANCE OF AMERICA,Newark,,NJ,,2026-09-18,89,,https://www.nj.gov/labor/employer-services/warn/
Digital Room LLC,DIGITAL ROOM,Saddle Brook,,NJ,,2026-09-16,69,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Cumberland County,,NJ,,2026-09-15,138,,https://www.nj.gov/labor/employer-services/warn/
Merck & Co,MERCK,Rahway,,NJ,,2026-09-04,88,,https://www.nj.gov/labor/employer-services/warn/
Optum Select Management Inc.,OPTUM SELECT MANAGEMENT,Somerset,,NJ,,2026-08-26,17,,https://www.nj.gov/labor/employer-services/warn/
Optum Care Inc.,OPTUM CARE,Rutherford,,NJ,,2026-08-26,5,,https://www.nj.gov/labor/employer-services/warn/
Optum Services Inc.,OPTUM,Basking Ridge,,NJ,,2026-08-26,36,,https://www.nj.gov/labor/employer-services/warn/
UBS,UBS,Weehawken,,NJ,,2026-08-26,65,,https://www.nj.gov/labor/employer-services/warn/
Novartis Group,NOVARTIS GROUP,East Hanover,,NJ,,2026-08-21,76,,https://www.nj.gov/labor/employer-services/warn/
Johnson & Johnson,JOHNSON JOHNSON,New Brunswick,,NJ,,2026-08-21,86,,https://www.nj.gov/labor/employer-services/warn/
Meta,META,Statewide,,NJ,,2026-08-20,74,,https://www.nj.gov/labor/employer-services/warn/
Acme Markets Inc.,ACME MARKETS,Edgewater,,NJ,,2026-08-15,115,,https://www.nj.gov/labor/employer-services/warn/
Embassy Suites by Hilton,EMBASSY SUITES BY HILTON,Parsippany,,NJ,,2026-08-14,54,,https://www.nj.gov/labor/employer-services/warn/
Barclays,BARCLAYS,Whippany,,NJ,,2026-08-10,64,,https://www.nj.gov/labor/employer-services/warn/
Verizon,VERIZON,Basking Ridge,,NJ,,2026-08-07,121,,https://www.nj.gov/labor/employer-services/warn/
Amicus Therapeutics,AMICUS THERAPEUTICS,Princeton,,NJ,,2026-08-07,58,,https://www.nj.gov/labor/employer-services/warn/
Verizon Corp Resources Group LLC,VERIZON RESOURCES GROUP,Basking Ridge,,NJ,,2026-08-07,156,,https://www.nj.gov/labor/employer-services/warn/
Danone North America,DANONE NORTH AMERICA,Bridgeton,,NJ,,2026-08-04,114,,https://www.nj.gov/labor/employer-services/warn/
Federal Express Corporation,FEDERAL EXPRESS,Union,,NJ,,2026-08-03,50,,https://www.nj.gov/labor/employer-services/warn/
Accupac,ACCUPAC,Lakewood,,NJ,,2026-08-03,260,,https://www.nj.gov/labor/employer-services/warn/
JP Morgan Chase,JP MORGAN CHASE,Jersey City,,NJ,,2026-08-03,51,,https://www.nj.gov/labor/employer-services/warn/
DoubleTree by Hilton,DOUBLETREE BY HILTON,Somerset,,NJ,,2026-08-01,90,,https://www.nj.gov/labor/employer-services/warn/
Fulton Bank,FULTON BANK,Parsippany,,NJ,,2026-07-31,95,,https://www.nj.gov/labor/employer-services/warn/
"FreshRealm, Inc.",FRESHREALM,Linden,,NJ,,2026-07-27,628,,https://www.nj.gov/labor/employer-services/warn/
Novartis,NOVARTIS,East Hanover,,NJ,,2026-07-24,60,,https://www.nj.gov/labor/employer-services/warn/
"CraftForce Services, Inc. (2330 Circadian Way)",CRAFTFORCE (2330 CIRCADIAN WAY),Santa Rosa,Sonoma,CA,2026-07-22,2026-09-20,51,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
"CraftForce Services, Inc. (2753 Giffen Avenue)",CRAFTFORCE (2753 GIFFEN AVENUE),Santa Rosa,Sonoma,CA,2026-07-22,2026-09-20,7,Closure Permanent,https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/
No Meat Factory USA Inc,NO MEAT FACTORY,Stanwood,,WA,2026-07-22,2026-09-16,123,Permanent,https://esd.wa.gov/about-employees/WARN
